"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"C4,C2,C9,C5,C3";"C_0402_1005Metric";5;"100n";;;
2;"C13";"C_0603_1608Metric";1;"22u";;;
3;"R2,R1";"R_0402_1005Metric";2;"10k";;;
4;"C7,C8";"C_0402_1005Metric";2;"1u";;;
5;"R3";"R_0402_1005Metric";1;"100k";;;
6;"C10,C11";"C_0402_1005Metric";2;"10p";;;
7;"C12";"C_0603_1608Metric";1;"10u";;;
8;"J5,J2,J1";"PinSocket_1x08_P2.54mm_Horizontal";3;"Conn_01x08_Female";;;
9;"U1";"LQFP-48_7x7mm_P0.5mm";1;"STM32F103C8Tx";;;
10;"J6";"PinSocket_1x04_P2.54mm_Horizontal";1;"Conn_01x04_Female";;;
11;"SW1";"SW_DIP_SPSTx01_Slide_6.7x4.1mm_W8.61mm_P2.54mm_LowProfile";1;"SW_SPDT";;;
12;"D2,D1";"D_0603_1608Metric";2;"DIODE";;;
13;"J7";"PinSocket_1x02_P2.54mm_Vertical";1;"Conn_01x02_Female";;;
14;"J4";"USB_Micro-B_Wuerth_629105150521";1;"USB_B_Micro";;;
15;"J3";"PinSocket_1x05_P2.54mm_Horizontal";1;"Conn_01x05_Female";;;
16;"L1";"L_0805_2012Metric";1;"4.7u";;;
17;"FB1";"L_0603_1608Metric";1;"120R@100MHz";;;
18;"Y1";"Crystal_SMD_3225-4Pin_3.2x2.5mm";1;"Crystal_GND24_Small";;;
19;"U2";"WSON-8-1EP_2x2mm_P0.5mm_EP0.9x1.6mm_ThermalVias";1;"TPS62162DSG";;;
20;"C6";"C_0402_1005Metric";1;"10n";;;
21;"C1";"C_0805_2012Metric";1;"10u";;;
